data_name,data_link,data_source,created_at,last_updated
"African Peer Review Mechanism Survey(APRM)-2006, First Round",https://nigerianstat.gov.ng/nada/index.php/catalog/5,By: National Bureau of Statitics(NBS) - Federal Government of Nigeria(FGN),"Created on: Oct 18, 2010","Last modified: Dec 02, 2013"
Chilld Labour Survey 2000,https://nigerianstat.gov.ng/nada/index.php/catalog/6,By: National Bureau of Statistics - Fedral Government of Nigeria (FGN),"Created on: Oct 18, 2010","Last modified: Dec 02, 2013"
"Conflict and Violence in Nigeria 2017, First Round",https://nigerianstat.gov.ng/nada/index.php/catalog/55,"By: National Bureau of Statistics (NBS) - Federal Government of Nigeria (FGN), World Bank - Federal Government of Nigeria (FGN)","Created on: Apr 11, 2018","Last modified: Apr 11, 2018"
COVID-19 National Longitudinal Phone Survey 2020,https://nigerianstat.gov.ng/nada/index.php/catalog/66,By: National Bureau of Statistics (NBS) - Federal Government of Nigeria,"Created on: Apr 19, 2021","Last modified: Apr 19, 2021"
COVID-19 National Longitudinal Phone Survey 2020,https://nigerianstat.gov.ng/nada/index.php/catalog/69,By: National Bureau of Statistics (NBS) - Federal Government of Nigeria,"Created on: Aug 25, 2021","Last modified: Aug 25, 2021"
COVID-19 National Longitudinal Phone Survey 2020,https://nigerianstat.gov.ng/nada/index.php/catalog/63,By: National Bureau of Statistics (NBS) - Federal Government of Nigeria,"Created on: Mar 19, 2021","Last modified: Mar 19, 2021"
COVID-19 National Longitudinal Phone Survey 2020,https://nigerianstat.gov.ng/nada/index.php/catalog/67,By: National Bureau of Statistics (NBS) - Federal Government of Nigeria,"Created on: May 06, 2021","Last modified: May 27, 2021"
COVID-19 National Longitudinal Phone Survey 2020,https://nigerianstat.gov.ng/nada/index.php/catalog/62,By: National Bureau of Statistics (NBS) - Federal Government of Nigeria,"Created on: Mar 17, 2021","Last modified: Mar 17, 2021"
"Crime and Corruption Business Survey 2006, First round",https://nigerianstat.gov.ng/nada/index.php/catalog/7,By: National Bureau of Statistics - FGN,"Created on: Oct 18, 2010","Last modified: Dec 02, 2013"
"Demographic and Health Survey, 2003, Fourth Round",https://nigerianstat.gov.ng/nada/index.php/catalog/26,By: National Population Commission (NPC) - Federal Government of Nigeria (FGN),"Created on: Oct 18, 2010","Last modified: Dec 02, 2013"
"Demographic and Health Survey, 2008, Fifth Round",https://nigerianstat.gov.ng/nada/index.php/catalog/27,By: National Population Commission (NPC) - Federal Government of Nigeria (FGN),"Created on: Oct 18, 2010","Last modified: Dec 02, 2013"
