Mart Name,Data Title,Data Link
Commodity Trade Statistics Database,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
Commodity Trade Statistics Database,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
Commodity Trade Statistics Database,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
Commodity Trade Statistics Database,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
Commodity Trade Statistics Database,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
Demographic Statistics Database,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
Demographic Statistics Database,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
Demographic Statistics Database,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
Demographic Statistics Database,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
Demographic Statistics Database,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
Energy Statistics Database,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
Energy Statistics Database,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
Energy Statistics Database,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
Energy Statistics Database,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
Energy Statistics Database,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
Environment Statistics Database,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
Environment Statistics Database,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
Environment Statistics Database,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
Environment Statistics Database,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
Environment Statistics Database,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
FAOSTAT,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
FAOSTAT,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
FAOSTAT,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
FAOSTAT,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
FAOSTAT,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
Gender Info,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
Gender Info,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
Gender Info,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
Gender Info,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
Gender Info,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
Greenhouse Gas Inventory Data,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
Greenhouse Gas Inventory Data,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
Greenhouse Gas Inventory Data,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
Greenhouse Gas Inventory Data,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
Greenhouse Gas Inventory Data,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
Homicide Statistics,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
Homicide Statistics,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
Homicide Statistics,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
Homicide Statistics,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
Homicide Statistics,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
Human Development Indices: A statistical update 2022,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
Human Development Indices: A statistical update 2022,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
Human Development Indices: A statistical update 2022,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
Human Development Indices: A statistical update 2022,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
Human Development Indices: A statistical update 2022,Women legislators and managers,http://data.un.org/DocumentData.aspx?id=342
Indicators on Women and Men,Legal Age for Marriage,http://data.un.org/DocumentData.aspx?id=336
Indicators on Women and Men,Maternity leave benefits,http://data.un.org/DocumentData.aspx?id=344
Indicators on Women and Men,Part-time employment,http://data.un.org/DocumentData.aspx?id=340
Indicators on Women and Men,Teaching staff,http://data.un.org/DocumentData.aspx?id=338
