,pageNumber,pageSize,previousPage,nextPage,pages,total,data,id,name,iso3,iso2,longitude,latitude
0,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 384, 'name': ""Côte d'Ivoire"", 'iso3': 'CIV', 'iso2': 'CI', 'longitude': -5.547080039978027, 'latitude': 7.539988994598389}",384,Côte d'Ivoire,CIV,CI,-5.547080039978027,7.539988994598389
1,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 388, 'name': 'Jamaica', 'iso3': 'JAM', 'iso2': 'JM', 'longitude': -77.2975082397461, 'latitude': 18.109580993652344}",388,Jamaica,JAM,JM,-77.2975082397461,18.109580993652344
2,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 392, 'name': 'Japan', 'iso3': 'JPN', 'iso2': 'JP', 'longitude': 138.2529296875, 'latitude': 36.2048225402832}",392,Japan,JPN,JP,138.2529296875,36.2048225402832
3,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 398, 'name': 'Kazakhstan', 'iso3': 'KAZ', 'iso2': 'KZ', 'longitude': 66.9236831665039, 'latitude': 48.01957321166992}",398,Kazakhstan,KAZ,KZ,66.9236831665039,48.01957321166992
4,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 400, 'name': 'Jordan', 'iso3': 'JOR', 'iso2': 'JO', 'longitude': 36.2384147644043, 'latitude': 30.58516311645508}",400,Jordan,JOR,JO,36.2384147644043,30.58516311645508
5,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 404, 'name': 'Kenya', 'iso3': 'KEN', 'iso2': 'KE', 'longitude': 37.906192779541016, 'latitude': -0.023559000343084335}",404,Kenya,KEN,KE,37.906192779541016,-0.023559000343084335
6,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 408, 'name': ""Dem. People's Rep. of Korea"", 'iso3': 'PRK', 'iso2': 'KP', 'longitude': 127.51009368896484, 'latitude': 40.33985137939453}",408,Dem. People's Rep. of Korea,PRK,KP,127.51009368896484,40.33985137939453
7,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 410, 'name': 'Republic of Korea', 'iso3': 'KOR', 'iso2': 'KR', 'longitude': 127.76692199707033, 'latitude': 35.90775680541992}",410,Republic of Korea,KOR,KR,127.76692199707033,35.90775680541992
8,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 412, 'name': 'Kosovo (under UNSC res. 1244)', 'iso3': 'XKX', 'iso2': 'XK', 'longitude': None, 'latitude': None}",412,Kosovo (under UNSC res. 1244),XKX,XK,,
9,2,100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=1&pageSize=100,https://population.un.org/dataportalapi/api/v1/locations/?pageNumber=3&pageSize=100,3,298,"{'id': 414, 'name': 'Kuwait', 'iso3': 'KWT', 'iso2': 'KW', 'longitude': 47.48176574707031, 'latitude': 29.31166076660156}",414,Kuwait,KWT,KW,47.48176574707031,29.31166076660156
