data_name,data_link,data_source,data_source_link,data_description,dataset_date_sourced,data_file
"Africa Climate Data
Updated August 7, 2024 | Created August 7, 2024
OpenUp",https://open.africa/dataset/africa-climate-data,OpenUp,https://open.africa/organization/openup?sort=metadata_modified+desc,This dataset has no description,"Updated August 7, 2024 | Created August 7, 2024",https://open.africa/dataset/africa-climate-data
"Global Gender Gap Report 2024
Updated July 29, 2024 | Created July 29, 2024
World Economic Forum",https://open.africa/dataset/global-gender-gap-report-2024,World Economic Forum,https://open.africa/organization/world-economic-forum?sort=metadata_modified+desc,"The Global Gender Gap Index annually benchmarks the current state and evolution of gender parity across four key dimensions (Economic Participation and Opportunity, Educational...","Updated July 29, 2024 | Created July 29, 2024",https://open.africa/dataset/global-gender-gap-report-2024
"Marriages and Divorces 2022
Updated May 28, 2024 | Created May 28, 2024
Statistics South Africa",https://open.africa/dataset/marriages-and-divorces-2022,Statistics South Africa,https://open.africa/organization/statistics-south-africa?sort=metadata_modified+desc,Information on Marriages,"Updated May 28, 2024 | Created May 28, 2024",https://open.africa/dataset/marriages-and-divorces-2022
"sensors.AFRICA Air Quality Archive Abuja
Updated March 21, 2024 | Created November 7, 2022
sensors.AFRICA",https://open.africa/dataset/sensorsafrica-airquality-archive-abuja,sensors.AFRICA,https://open.africa/organization/sensors-africa?sort=metadata_modified+desc,"This data set contains PM (particulate matter), temperature, and humidity readings taken with low-cost sensors. These sensors measure the concentration of PM in the air,...","Updated March 21, 2024 | Created November 7, 2022",https://open.africa/dataset/sensorsafrica-airquality-archive-abuja
"sensors.AFRICA Air Quality Archive Vanderbijlpark
Updated March 19, 2024 | Created May 13, 2021
sensors.AFRICA",https://open.africa/dataset/sensorsafrica-airquality-archive-vanderbijlpark,sensors.AFRICA,https://open.africa/organization/sensors-africa?sort=metadata_modified+desc,"This data set contains PM (particulate matter), temperature, and humidity readings taken with low-cost sensors. These sensors measure the concentration of PM in the air,...","Updated March 19, 2024 | Created May 13, 2021",https://open.africa/dataset/sensorsafrica-airquality-archive-vanderbijlpark
"sensors.AFRICA Air Quality Archive usman
Updated March 19, 2024 | Created September 30, 2023
sensors.AFRICA",https://open.africa/dataset/sensorsafrica-airquality-archive-usman,sensors.AFRICA,https://open.africa/organization/sensors-africa?sort=metadata_modified+desc,This dataset has no description,"Updated March 19, 2024 | Created September 30, 2023",https://open.africa/dataset/sensorsafrica-airquality-archive-usman
"sensors.AFRICA Air Quality Archive Sabaki, Nairobi
Updated March 19, 2024 | Created January 28, 2020
sensors.AFRICA",https://open.africa/dataset/sensorsafrica-airquality-archive-sabaki-nairobi,sensors.AFRICA,https://open.africa/organization/sensors-africa?sort=metadata_modified+desc,"This data set contains PM (particulate matter), temperature, and humidity readings taken with low-cost sensors. These sensors measure the concentration of PM in the air,...","Updated March 19, 2024 | Created January 28, 2020",https://open.africa/dataset/sensorsafrica-airquality-archive-sabaki-nairobi
"sensors.AFRICA Air Quality Archive Nakuru
Updated March 19, 2024 | Created August 3, 2021
sensors.AFRICA",https://open.africa/dataset/sensorsafrica-airquality-archive-nakuru,sensors.AFRICA,https://open.africa/organization/sensors-africa?sort=metadata_modified+desc,"This data set contains PM (particulate matter), temperature, and humidity readings taken with low-cost sensors. These sensors measure the concentration of PM in the air,...","Updated March 19, 2024 | Created August 3, 2021",https://open.africa/dataset/sensorsafrica-airquality-archive-nakuru
"sensors.AFRICA Air Quality Archive Nairobi
Updated March 19, 2024 | Created February 15, 2019
sensors.AFRICA",https://open.africa/dataset/sensorsafrica-airquality-archive-nairobi,sensors.AFRICA,https://open.africa/organization/sensors-africa?sort=metadata_modified+desc,"This data set contains PM (particulate matter), temperature, and humidity readings taken with low-cost sensors. These sensors measure the concentration of PM in the air,...","Updated March 19, 2024 | Created February 15, 2019",https://open.africa/dataset/sensorsafrica-airquality-archive-nairobi
"sensors.AFRICA Air Quality Archive Meru Sensor Mobile 6
Updated March 19, 2024 | Created March 13, 2024
sensors.AFRICA",https://open.africa/dataset/sensorsafrica-airquality-archive-meru-sensor-mobile-6,sensors.AFRICA,https://open.africa/organization/sensors-africa?sort=metadata_modified+desc,This dataset has no description,"Updated March 19, 2024 | Created March 13, 2024",https://open.africa/dataset/sensorsafrica-airquality-archive-meru-sensor-mobile-6
"sensors.AFRICA Air Quality Archive Meru mobile sensor
Updated March 19, 2024 | Created February 2, 2024
sensors.AFRICA",https://open.africa/dataset/sensorsafrica-airquality-archive-meru-mobile-sensor,sensors.AFRICA,https://open.africa/organization/sensors-africa?sort=metadata_modified+desc,"This data set contains PM (particulate matter), temperature, and humidity readings taken with low-cost sensors. These sensors measure the concentration of PM in the air,...","Updated March 19, 2024 | Created February 2, 2024",https://open.africa/dataset/sensorsafrica-airquality-archive-meru-mobile-sensor
