Data Name,Data Name Link,Data Source,Data Source Link
"Total population, both sexes combined (thousands)",https://data.un.org/Data.aspx?q=africa&d=PopDiv&f=variableID%3a12%3bcrID%3a1833%2c1834%2c710%2c903%2c910%2c911%2c912%2c913%2c914,World Population Prospects: The 2022 Revision,javascript:;
Average annual rate of population change (percentage),https://data.un.org/Data.aspx?q=africa&d=PopDiv&f=variableID%3a47%3bcrID%3a1833%2c1834%2c710%2c903%2c910%2c911%2c912%2c913%2c914,World Population Prospects: The 2022 Revision,javascript:;
Life expectancy at birth for both sexes combined (years),https://data.un.org/Data.aspx?q=africa&d=PopDiv&f=variableID%3a68%3bcrID%3a1833%2c1834%2c710%2c903%2c910%2c911%2c912%2c913%2c914,World Population Prospects: The 2022 Revision,javascript:;
Total fertility rate (live births per woman),https://data.un.org/Data.aspx?q=africa&d=PopDiv&f=variableID%3a54%3bcrID%3a1833%2c1834%2c710%2c903%2c910%2c911%2c912%2c913%2c914,World Population Prospects: The 2022 Revision,javascript:;
"Infant mortality rate, for both sexes combined (infant deaths per 1,000 live births)",https://data.un.org/Data.aspx?q=africa&d=PopDiv&f=variableID%3a77%3bcrID%3a1833%2c1834%2c710%2c903%2c910%2c911%2c912%2c913%2c914,World Population Prospects: The 2022 Revision,javascript:;
"Under-five mortality, for both sexes combined (deaths under age five per 1,000 live births)",https://data.un.org/Data.aspx?q=africa&d=PopDiv&f=variableID%3a80%3bcrID%3a1833%2c1834%2c710%2c903%2c910%2c911%2c912%2c913%2c914,World Population Prospects: The 2022 Revision,javascript:;
Enrolment in Grade 5 of primary education,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aE_1_G5%3bref_area%3aZAF,UIS Data Centre,javascript:;
Percentage of enrolment in pre-primary edcuation in private institutions,https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aPRP_0%3bref_area%3aZAF,UIS Data Centre,javascript:;
"Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years (%)",https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aEA_1t8_Ag25t99%3bref_area%3aZAF,UIS Data Centre,javascript:;
"Daily newspapers: Number of titles per 1,000,000 inhabitants",https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aC_N_DNTPI%3bref_area%3aZAF,UIS Data Centre,javascript:;
"Daily newspapers: Total average circulation per 1,000 inhabitants",https://data.un.org/Data.aspx?q=africa&d=UNESCO&f=series%3aC_N_CDN%3bref_area%3aZAF,UIS Data Centre,javascript:;
Mobile-cellular telephone subscriptions per 100 inhabitants,https://data.un.org/Data.aspx?q=africa&d=ITU&f=ind1Code%3aI911%3bcountryCode%3aZAF,World Telecommunication/ICT Indicators Database,javascript:;
Percentage of individuals using the internet,https://data.un.org/Data.aspx?q=africa&d=ITU&f=ind1Code%3aI99H%3bcountryCode%3aZAF,World Telecommunication/ICT Indicators Database,javascript:;
Gross Value Added by Kind of Economic Activity at constant (2015) prices - National currency,https://data.un.org/Data.aspx?q=africa&d=SNAAMA&f=grID%3a202%3bcurrID%3aNCU%3bpcFlag%3a0%3bcrID%3a710,National Accounts Estimates of Main Aggregates,javascript:;
GDP by Type of Expenditure at current prices - National currency,https://data.un.org/Data.aspx?q=africa&d=SNAAMA&f=grID%3a101%3bcurrID%3aNCU%3bpcFlag%3a0%3bcrID%3a710,National Accounts Estimates of Main Aggregates,javascript:;
GNI at current prices - US dollars,https://data.un.org/Data.aspx?q=africa&d=SNAAMA&f=grID%3a103%3bcurrID%3aUSD%3bpcFlag%3a0%3bcrID%3a710,National Accounts Estimates of Main Aggregates,javascript:;
"Table 1.3 Relations among product, income, savings, and net lending aggregates",https://data.un.org/Data.aspx?q=africa&d=SNA&f=group_code%3a103%3bcountry_code%3a710,National Accounts Official Country Data,javascript:;
Short-term debt (% of total external debt),https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aDT.DOD.DSTC.ZS%3bCountry_Code%3aMNA%2cSSA%2cZAF,World Development Indicators,javascript:;
"PPG, IDA (DOD, current US$)",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aDT.DOD.MIDA.CD%3bCountry_Code%3aMNA%2cSSA%2cZAF,World Development Indicators,javascript:;
"External debt stocks, total (DOD, current US$)",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aDT.DOD.DECT.CD%3bCountry_Code%3aMNA%2cSSA%2cZAF,World Development Indicators,javascript:;
"IBRD loans and IDA credits (DOD, current US$)",https://data.un.org/Data.aspx?q=africa&d=WDI&f=Indicator_Code%3aDT.DOD.MWBG.CD%3bCountry_Code%3aMNA%2cSSA%2cZAF,World Development Indicators,javascript:;
