Country,Data_Name,Data_Description,Data_Link,link
Gabon,MYFF UNSDCF 2023-2027 update 04092024,Multiyear funding framework,,https://minio.uninfo.org/uninfo-production-main/135b9f03-6ee7-426d-9ca9-d68dba6d3cad_Gabon%20MYFF%2020232027%20040924%20Mise%20%C3%A0%20jour%20FAO%20%20Finale%20version.xlsx
Malawi,2024-2028 Malawi UN Sustainable Development Cooperation Framework,Cooperation Framework,,https://malawi.un.org/en/269449-united-nations-sustainable-development-cooperation-framework-malawi-2024-2028
Burkina Faso,United Nations Interim Development Action Plan,Cooperation Framework,,https://minio.uninfo.org/uninfo-production-main/dbf0c30d-9404-4270-afd3-c9bf149ccb12_United%20Nations%20Interim%20Development%20Action%20Plan%2020232025.pdf
Botswana,Botswana UNCT Annual Results Report 2023,UN Country Results Report,,https://botswana.un.org/en/269149-unct-annual-results-report-2023
Botswana,United Nations Sustainable Development Cooperation Framework 2022-2026,Cooperation Framework,,https://botswana.un.org/en/193521-united-nations-sustainable-development-cooperation-framework-2022%E2%80%932026
Djibouti,EVALUATION FINALE DU PLAN CADRE DES NATIONS UNIES POUR L’AIDE AU DEVELOPPEMENT DE DJIBOUTI (PNUAD) 2018-2024,UNDAF/Cooperation Framework Evaluation,,https://minio.uninfo.org/uninfo-production-main/2e15e37c-ab50-4887-ba8d-38755aadcc8e_20240630%20Djibouti%20UNDAF%20Final%20Version.pdf
Central African Republic,Rapport annuel 2023,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/b201e04b-9387-4bf5-8dbf-c6f93b927a72_UNRCAreport.pdf
Sierra Leone,Sierra Leone UNSDCF (2025-2030),Cooperation Framework,,https://sierraleone.un.org/en/274732-united-nations-sustainable-development-cooperation-framework-2025-2030
Sierra Leone,Sierra Leone UN Sustainable Development Cooperation Framework (2025-2030),Cooperation Framework,,https://sierraleone.un.org/en/274732-united-nations-sustainable-development-cooperation-framework-2025-2030
Guinea,Management Plan,Management response for UNDAF/Cooperation Framework Evaluation,,https://minio.uninfo.org/uninfo-production-main/684443ba-a2b2-48d9-bbdb-9c6893d8736b_PNUAD_Plan_de_suivi_de_la_mise_en_oeuvre_des_Recommandations_de_l%C3%A9valuation.pdf
Guinea,Evaluation of UNDAF,UNDAF/Cooperation Framework Evaluation,,https://guinee.un.org/fr/195555-%C3%A9valuation-sommative-du-plan-cadre-des-nations-unies-pour-l%E2%80%99aide-au-developpement-2018-2022
Eswatini,Eswatini Annual Results Report 2023,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/29fe7696-d4ec-423f-9d7f-93c15d4c2cee_One%20UN%20Report%202023%20Eswatini17.pdf
Gambia,Evaluation of United Nations Development Assistance Framework,UNDAF/Cooperation Framework Evaluation,,https://minio.uninfo.org/uninfo-production-main/d8989f72-b509-437e-917f-0645fb106478_Draft%20UNDAF%20Evaluation%20Final.pdf
Gambia,Evaluation of previous plan United Nations Development Assistance Framework,UNDAF/Cooperation Framework Evaluation,,https://minio.uninfo.org/uninfo-production-main/10761c33-586b-4eb6-a331-3b8ac74614d6_Draft%20UNDAF%20Evaluation%20Final.pdf
Democratic Republic of the Congo,Management response_Evaluation finale UNSDCF_2020-2024,Management response for UNDAF/Cooperation Framework Evaluation,,https://minio.uninfo.org/uninfo-production-main/cd051cd8-c08d-4311-b903-6ea23625c754_DRCR%C3%A9ponses%20des%20Gestionnaires%20des%20ProgrammesEvaluation%20UNSDCF%202020%202024.pdf
Democratic Republic of the Congo,DRC_Rapport Annuel des Résultats du UNCT_2023,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/e71dadf9-db26-4fde-b3f7-a6568fc70743_DRC%20UN%20Country%20Results%20Report%202023%20%C3%A9dit%C3%A9.pdf
Sudan,United Nations in Sudan Annual Report 2023,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/789458c6-2c1c-42e8-b03d-99bd5ca22f49_United%20Nations%20in%20Sudan%20Annual%20Report%202023D5.pdf
Mauritania,CB Consolidé UNCT RIM,Multiyear funding framework,,https://minio.uninfo.org/uninfo-production-main/d7f688db-d1e6-48fa-a848-8f0761663dcc_CB%20Consolide%CC%81%20UNCT%20RIM%20VFInputsPAM31Jan2024.xlsx
Gambia,Multi Year Funding Framework,Multiyear funding framework,,https://minio.uninfo.org/uninfo-production-main/16d780c3-cace-4622-95d2-3b7a5d35b994_UNSDCF%20Multi%20Year%20Funding%20Framework%20202420281.xlsx
Chad,Rapport sur les Resultats 2023,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/ff804fc6-28fd-4715-b727-564e1af03a41_Rapport%20annuel%202023%20Mise%20en%20page21juin%202024.pdf
South Africa,Annual Country Results Report - South Africa,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/c06c28ae-2a6a-4b7e-b70c-65d693228e5e_UN%20South%20Africa%20annual%20results%20report%202023ELECTRONIC2%20copy.pdf
Mali,MALI ANNUAL REPORT 2023,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/02e02d39-3000-450d-a7c0-1adb14a55735_UNSDCF%202023ANNUAL%20REPORT%20VF.pdf
Nigeria,Un-Nigeria_2023 Results Report,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/6cf0cd1f-2c83-41a1-ba6d-185a15349681_Nigeria2023%20Results%20Report%20%20Final.pdf
Cabo Verde,UN Cabo Verde Annual Results Report 2023,UN Country Results Report,,https://caboverde.un.org/pt/270276-onu-cabo-verde-relat%C3%B3rio-anual-2023
Ghana,2023 UN-Ghana Results Report - Final pdf,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/f4070633-a9d5-454d-b30d-bc8701fbf6bd_2023%20UNGHANA%20ANNUAL%20RESULTS%20REPORTFINAL.pdf
Namibia,Final Namibia Annual Results Report 2023,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/72f8a58c-772d-4571-b6fd-f8968cdc90e8_Namibia%20Results%202023%206.pdf
Guinea-Bissau,UN Country Results Report,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/7efdd1c6-f9cb-483e-8bdb-4d7834105354_GUINEA%20BISSAU%20ANNUAL%20REPORTEnglishSpread24052024.pdf
Liberia,UNCT Liberia Annual Results Report_2023,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/01efec15-e8a8-47d9-aba5-fbf38b57710b_UNCT%20LIBERIA%202023%20ANNUAL%20RESULTS%20REPORT%20Final%20V18.pdf
Burundi,Annual Report Burundi 2023 - final,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/b68d1e1b-48de-4e33-b6bd-bb238babee21_UNON%20Kenya%20%20Annual%20Report%20Burundi%202023%20%20final%20web%20spreads.pdf
Eritrea,Annual UNCT report 2024,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/019c30c6-06fc-4d44-a2fb-7e9fe40955a5_AnnualreportEritreafinal.pdf
Senegal,Rapport de résultats 2023 des Nations Unies,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/600248ec-538c-4991-99b6-cba8929f1040_Rapport%20sur%20les%20r%C3%A9sultats%202023%20des%20Nations%20Unies%20%20au%20S%C3%A9n%C3%A9gal.pdf
Botswana,2023 Botswana UNCT Results Report,UN Country Results Report,,https://botswana.un.org/sites/default/files/2024-05/Botswana%20Results%202023%20FINAL_0.pdf
Uganda,2023 UN Country Results Report,UN Country Results Report,,https://uganda.un.org/en/269159-2023-un-uganda-country-results-report
Morocco,Rapport des résultats des Nations Unies au Maroc 2023,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/a08f2cb6-5fff-4532-9660-ae0bebc7e337_MarocSNUDRapport%20annuel2023.pdf
Guinea,CADRE DE COOPÉRATION DES NATIONS UNIES POUR LE DÉVELOPPEMENT DURABLE 2024-2028,Cooperation Framework,,https://minio.uninfo.org/uninfo-production-main/767720d8-c84e-48cf-9222-2ce8d6438e38_Cadre%20de%20Cooperation%20UNSDCF%2020242028%20Guinee%20%20final%20Creation%20Graphique%20NEWS1.pdf
Gabon,UN Gabon Annual Results Report 2023,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/6a0d1043-6bdb-444b-b173-3daeb36851b7_UN%20Gabon%20Rapport%20Annuel%20ONU%202023.pdf
Cote d'Ivoire,RAPPORT ANNUEL 2023 UN COTE D'IVOIRE,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/5a055eba-3d99-4014-a0bf-672020e6459e_Rapport%202023SNUDCI.pdf
Libya,2023 UN Country Team Annual Results Report,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/1ffc32ed-c4bb-4f29-b0d5-bd81a7e1ed15_UN%20Libya%20Results%20Report%202023%20EN.pdf
Sierra Leone,Sierra Leone Evaluation of previous UNSDCF,UNDAF/Cooperation Framework Evaluation,,https://minio.uninfo.org/uninfo-production-main/8290814b-6ff1-411b-9c4d-b49e5ebf8d6e_UNSDCF%20EvaluationSierra%20LeoneFinal.docx
Democratic Republic of the Congo,Evaluation Finale du Cadre de Coopération (UNSDCF 2020-2024),UNDAF/Cooperation Framework Evaluation,,https://minio.uninfo.org/uninfo-production-main/ae9165cf-23da-429b-81f9-9e2d27ea36f7_RDCRapport%20d%C3%A9valuationUNSDCF%202020%202024%20Eversion%20finale.pdf
Sao Tome and Principe,UN STP Annual Report 2023,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/58c8f79d-87c7-4182-a357-e88e6df78a22_UN%20STP%20ANNUAL%20REPORT%202023c.pdf
Cote d'Ivoire,Termes de référence de l'Evaluation finale du CCDD 2021-2025,UNDAF/Cooperation Framework Evaluation,,https://minio.uninfo.org/uninfo-production-main/a5f0ceca-d759-439d-9886-36acec3d25d4_CIVTDREvaluation%20finale%20du%20CCDD%2020212025.pdf
Gambia,2023 Annual Results Report,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/af69786f-d3bf-4f30-9ae5-581404082e2c_UN%20ANNUAL%20RESULTS%20REPORT%202023%202.pdf
Mauritania,Mauritania UNCT Results Report 2023,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/7da2cacf-6d34-4936-9487-2f9d7dca0ac9_Rapport%20Annuel%20UNCT%20Mauritanie%202023%20%20VF.pdf
Chad,Rapport sur les Resultats 2023,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/4befe166-0cf3-4a87-a653-52d73ae9ee97_Rapport%20annuel%202023%20Mise%20en%20page21juin%202024.pdf
Rwanda,UNCT Annual Results Report 2023,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/9e530387-03b2-4d33-9f39-14430bf1459a_UNCT%20Annual%20Results%20Report%202023%20FINAL.pdf
Tanzania,URT_Country Results Report 2022-2023,UN Country Results Report,,https://minio.uninfo.org/uninfo-production-main/527bd199-ad60-493c-a2eb-47ae28ffbbcd_TanzaniaAnnual%20Results%20Report%2020222023.pdf
